Subject,Run,Condition,Trials,Trials,Trials
,,,Correct,Incorrect,Missed
52,RL,0bk,34,6,1
52,RL,2bk,31,9,0
53,LR,0bk,40,0,0
53,LR,2bk,35,5,1
53,RL,0bk,38,2,0
53,RL,2bk,31,9,3
54,LR,0bk,39,1,1
54,LR,2bk,34,6,2
54,RL,0bk,39,1,0
54,RL,2bk,30,10,3
55,LR,0bk,40,0,0
55,LR,2bk,35,5,1
55,RL,0bk,39,1,0
55,RL,2bk,34,6,0
56,LR,0bk,28,12,1
56,LR,2bk,34,6,0
56,RL,0bk,35,5,2
56,RL,2bk,29,11,4
57,LR,0bk,37,3,0
57,LR,2bk,36,4,0
57,RL,0bk,39,1,0
57,RL,2bk,31,9,2
58,LR,0bk,40,0,0
58,LR,2bk,38,2,0
58,RL,0bk,40,0,0
58,RL,2bk,36,4,0
59,LR,0bk,40,0,0
59,LR,2bk,40,0,0
59,RL,0bk,37,3,0
59,RL,2bk,38,2,0
60,LR,0bk,40,0,0
60,LR,2bk,38,2,0
60,RL,0bk,37,3,1
60,RL,2bk,34,6,1
61,LR,0bk,40,0,0
61,LR,2bk,36,4,1
61,RL,0bk,32,8,2
61,RL,2bk,29,11,2
62,LR,0bk,26,14,0
62,LR,2bk,29,11,1
62,RL,0bk,29,11,3
62,RL,2bk,29,11,1
63,LR,0bk,37,3,0
63,LR,2bk,33,7,1
63,RL,0bk,34,6,2
63,RL,2bk,28,12,3
64,LR,0bk,40,0,0
64,LR,2bk,40,0,0
64,RL,0bk,40,0,0
64,RL,2bk,37,3,3
65,LR,0bk,40,0,0
65,LR,2bk,39,1,0
65,RL,0bk,40,0,0
65,RL,2bk,34,6,4
66,LR,0bk,40,0,0
66,LR,2bk,39,1,0
66,RL,0bk,40,0,0
66,RL,2bk,32,8,1
67,LR,0bk,40,0,0
67,LR,2bk,28,12,1
67,RL,0bk,36,4,0
67,RL,2bk,31,9,0
68,LR,0bk,39,1,0
68,LR,2bk,35,5,0
68,RL,0bk,34,6,2
68,RL,2bk,31,9,1
69,LR,0bk,40,0,0
69,LR,2bk,35,5,1
69,RL,0bk,40,0,0
69,RL,2bk,34,6,1
70,LR,0bk,40,0,0
70,LR,2bk,35,5,4
70,RL,0bk,40,0,0
70,RL,2bk,37,3,0
71,LR,0bk,39,1,0
71,LR,2bk,30,10,3
71,RL,0bk,37,3,1
71,RL,2bk,25,15,5
72,LR,0bk,40,0,0
72,LR,2bk,40,0,0
72,RL,0bk,40,0,0
72,RL,2bk,37,3,0
73,LR,0bk,39,1,0
73,LR,2bk,34,6,0
73,RL,0bk,38,2,0
73,RL,2bk,30,10,4
74,LR,0bk,40,0,0
74,LR,2bk,39,1,1
74,RL,0bk,37,3,0
74,RL,2bk,36,4,2
75,LR,0bk,40,0,0
75,LR,2bk,39,1,0
75,RL,0bk,39,1,1
75,RL,2bk,38,2,0
76,LR,0bk,40,0,0
76,LR,2bk,35,5,1
76,RL,0bk,36,4,3
76,RL,2bk,28,12,11
77,LR,0bk,38,2,1
77,LR,2bk,34,6,1
77,RL,0bk,38,2,0
77,RL,2bk,33,7,1
78,LR,0bk,25,15,5
78,LR,2bk,20,20,8
78,RL,0bk,24,16,7
78,RL,2bk,24,16,3
79,LR,0bk,40,0,0
79,LR,2bk,35,5,2
79,RL,0bk,40,0,0
79,RL,2bk,35,5,3
80,LR,0bk,40,0,0
80,LR,2bk,37,3,0
80,RL,0bk,38,2,1
80,RL,2bk,31,9,2
81,LR,0bk,30,10,4
81,LR,2bk,30,10,2
81,RL,0bk,40,0,0
81,RL,2bk,33,7,0
82,LR,0bk,40,0,0
82,LR,2bk,37,3,0
82,RL,0bk,40,0,0
82,RL,2bk,31,9,4
83,LR,0bk,40,0,0
83,LR,2bk,40,0,0
83,RL,0bk,39,1,1
83,RL,2bk,36,4,2
84,LR,0bk,40,0,0
84,LR,2bk,39,1,0
84,RL,0bk,38,2,1
84,RL,2bk,35,5,3
85,LR,0bk,37,3,1
85,LR,2bk,39,1,0
85,RL,0bk,37,3,2
85,RL,2bk,37,3,1
86,LR,0bk,37,3,0
86,LR,2bk,37,3,2
86,RL,0bk,39,1,0
86,RL,2bk,32,8,3
87,LR,0bk,37,3,0
87,LR,2bk,36,4,1
87,RL,0bk,38,2,1
87,RL,2bk,31,9,0
88,LR,0bk,39,1,1
88,LR,2bk,29,11,0
88,RL,0bk,35,5,1
88,RL,2bk,24,16,4
89,LR,0bk,39,1,1
89,LR,2bk,38,2,1
89,RL,0bk,37,3,1
89,RL,2bk,35,5,3
90,LR,0bk,40,0,0
90,LR,2bk,39,1,1
90,RL,0bk,39,1,1
90,RL,2bk,34,6,1
91,LR,0bk,38,2,0
91,LR,2bk,39,1,0
91,RL,0bk,39,1,0
91,RL,2bk,34,6,1
92,LR,0bk,40,0,0
92,LR,2bk,38,2,0
92,RL,0bk,39,1,0
92,RL,2bk,30,10,2
93,LR,0bk,39,1,0
93,LR,2bk,37,3,1
93,RL,0bk,37,3,0
93,RL,2bk,37,3,2
94,LR,0bk,40,0,0
94,LR,2bk,39,1,0
94,RL,0bk,40,0,0
94,RL,2bk,40,0,0
95,LR,0bk,40,0,0
95,LR,2bk,35,5,1
95,RL,0bk,39,1,0
95,RL,2bk,28,12,3
96,LR,0bk,39,1,0
96,LR,2bk,38,2,1
96,RL,0bk,36,4,3
96,RL,2bk,26,14,7
97,LR,0bk,37,3,0
97,LR,2bk,35,5,1
97,RL,0bk,34,6,1
97,RL,2bk,31,9,5
98,LR,0bk,38,2,0
98,LR,2bk,40,0,0
98,RL,0bk,40,0,0
98,RL,2bk,37,3,0
99,LR,0bk,40,0,0
99,LR,2bk,37,3,2
99,RL,0bk,38,2,1
99,RL,2bk,33,7,2
100,LR,0bk,39,1,0
100,LR,2bk,39,1,1
100,RL,0bk,40,0,0
100,RL,2bk,39,1,0
101,LR,0bk,40,0,0
101,LR,2bk,35,5,4
101,RL,0bk,34,6,2
101,RL,2bk,32,8,3
102,LR,0bk,40,0,0
102,LR,2bk,35,5,2
102,RL,0bk,35,5,0
102,RL,2bk,31,9,2
103,LR,0bk,40,0,0
103,LR,2bk,40,0,0
103,RL,0bk,40,0,0
103,RL,2bk,38,2,0
104,LR,0bk,37,3,0
104,LR,2bk,36,4,2
104,RL,0bk,37,3,0
104,RL,2bk,33,7,2
105,LR,0bk,38,2,1
105,LR,2bk,38,2,0
105,RL,0bk,31,9,2
105,RL,2bk,36,4,0
106,LR,0bk,36,4,0
106,LR,2bk,35,5,1
106,RL,0bk,28,12,1
106,RL,2bk,35,5,1
107,LR,0bk,40,0,0
107,LR,2bk,38,2,0
107,RL,0bk,34,6,4
107,RL,2bk,33,7,4
108,LR,0bk,39,1,0
108,LR,2bk,37,3,2
108,RL,0bk,40,0,0
108,RL,2bk,39,1,0
109,LR,0bk,22,18,6
109,LR,2bk,24,16,7
109,RL,0bk,21,19,8
109,RL,2bk,23,17,6
110,LR,0bk,35,5,1
110,LR,2bk,33,7,1
110,RL,0bk,33,7,2
110,RL,2bk,30,10,2
111,LR,0bk,39,1,0
111,LR,2bk,39,1,0
111,RL,0bk,38,2,0
111,RL,2bk,34,6,2
112,LR,0bk,38,2,0
112,LR,2bk,37,3,1
112,RL,0bk,28,12,0
112,RL,2bk,36,4,0
113,LR,0bk,38,2,0
113,LR,2bk,37,3,0
113,RL,0bk,38,2,0
113,RL,2bk,29,11,2
114,LR,0bk,40,0,0
114,LR,2bk,39,1,1
114,RL,0bk,40,0,0
114,RL,2bk,35,5,1
115,LR,0bk,39,1,0
115,LR,2bk,29,11,3
115,RL,0bk,29,11,6
115,RL,2bk,28,12,5
116,LR,0bk,40,0,0
116,LR,2bk,39,1,1
116,RL,0bk,40,0,0
116,RL,2bk,36,4,1
117,LR,0bk,38,2,0
117,LR,2bk,40,0,0
117,RL,0bk,40,0,0
117,RL,2bk,35,5,0
118,LR,0bk,40,0,0
118,LR,2bk,39,1,0
118,RL,0bk,37,3,0
118,RL,2bk,37,3,0
119,LR,0bk,39,1,0
119,LR,2bk,37,3,1
119,RL,0bk,39,1,1
119,RL,2bk,34,6,3
120,LR,0bk,25,15,2
120,LR,2bk,30,10,4
120,RL,0bk,29,11,1
120,RL,2bk,27,13,5
121,LR,0bk,24,16,7
121,LR,2bk,29,11,2
121,RL,0bk,38,2,0
121,RL,2bk,28,12,0
122,LR,0bk,40,0,0
122,LR,2bk,40,0,0
122,RL,0bk,35,5,0
122,RL,2bk,36,4,0
123,LR,0bk,33,7,1
123,LR,2bk,29,11,1
123,RL,0bk,35,5,2
123,RL,2bk,31,9,2
124,LR,0bk,39,1,0
124,LR,2bk,39,1,1
124,RL,0bk,37,3,1
124,RL,2bk,32,8,0
125,LR,0bk,39,1,0
125,LR,2bk,35,5,0
125,RL,0bk,39,1,0
125,RL,2bk,30,10,3
126,LR,0bk,35,5,1
126,LR,2bk,36,4,1
126,RL,0bk,39,1,1
126,RL,2bk,35,5,1
127,LR,0bk,24,16,2
127,LR,2bk,39,1,0
127,RL,0bk,21,19,3
127,RL,2bk,37,3,1
128,LR,0bk,39,1,0
128,LR,2bk,40,0,0
128,RL,0bk,37,3,3
128,RL,2bk,35,5,1
129,LR,0bk,38,2,0
129,LR,2bk,24,16,4
129,RL,0bk,32,8,3
129,RL,2bk,29,11,4
130,LR,0bk,34,6,1
130,LR,2bk,30,10,3
130,RL,0bk,33,7,0
130,RL,2bk,30,10,3
131,LR,0bk,40,0,0
131,LR,2bk,36,4,1
131,RL,0bk,37,3,1
131,RL,2bk,30,10,4
132,LR,0bk,38,2,1
132,LR,2bk,38,2,0
132,RL,0bk,39,1,1
132,RL,2bk,37,3,1
133,LR,0bk,40,0,0
133,LR,2bk,39,1,0
133,RL,0bk,36,4,2
133,RL,2bk,32,8,1
134,LR,0bk,40,0,0
134,LR,2bk,40,0,0
134,RL,0bk,34,6,0
134,RL,2bk,37,3,1
135,LR,0bk,38,2,1
135,LR,2bk,39,1,0
135,RL,0bk,38,2,0
135,RL,2bk,33,7,4
136,LR,0bk,39,1,0
136,LR,2bk,38,2,1
136,RL,0bk,39,1,1
136,RL,2bk,37,3,0
137,LR,0bk,40,0,0
137,LR,2bk,37,3,1
137,RL,0bk,40,0,0
137,RL,2bk,32,8,1
138,LR,0bk,39,1,1
138,LR,2bk,37,3,1
138,RL,0bk,40,0,0
138,RL,2bk,36,4,1
139,LR,0bk,39,1,0
139,LR,2bk,39,1,0
139,RL,0bk,40,0,0
139,RL,2bk,36,4,0
140,LR,0bk,40,0,0
140,LR,2bk,38,2,0
140,RL,0bk,36,4,2
140,RL,2bk,32,8,5
141,LR,0bk,36,4,1
141,LR,2bk,31,9,1
141,RL,0bk,38,2,1
141,RL,2bk,27,13,2
142,LR,0bk,34,6,0
142,LR,2bk,36,4,0
142,RL,0bk,36,4,2
142,RL,2bk,28,12,0
143,LR,0bk,39,1,0
143,LR,2bk,36,4,0
143,RL,0bk,33,7,3
143,RL,2bk,32,8,4
144,LR,0bk,40,0,0
144,LR,2bk,37,3,0
144,RL,0bk,40,0,0
144,RL,2bk,36,4,0
145,LR,0bk,39,1,0
145,LR,2bk,37,3,2
145,RL,0bk,30,10,4
145,RL,2bk,33,7,2
146,LR,0bk,39,1,0
146,LR,2bk,39,1,0
146,RL,0bk,40,0,0
146,RL,2bk,38,2,0
147,LR,0bk,38,2,0
147,LR,2bk,37,3,1
147,RL,0bk,36,4,2
147,RL,2bk,31,9,4
148,LR,0bk,38,2,2
148,LR,2bk,27,13,6
148,RL,0bk,40,0,0
148,RL,2bk,30,10,3
149,LR,0bk,38,2,1
149,LR,2bk,38,2,0
149,RL,0bk,33,7,2
149,RL,2bk,34,6,1
150,LR,0bk,40,0,0
150,LR,2bk,35,5,0
150,RL,0bk,38,2,1
150,RL,2bk,29,11,2
151,LR,0bk,39,1,0
151,LR,2bk,31,9,1
151,RL,0bk,38,2,1
151,RL,2bk,32,8,2
152,LR,0bk,37,3,0
152,LR,2bk,34,6,1
152,RL,0bk,29,11,5
152,RL,2bk,30,10,0
153,LR,0bk,39,1,0
153,LR,2bk,37,3,1
153,RL,0bk,39,1,0
153,RL,2bk,30,10,4
154,LR,0bk,40,0,0
154,LR,2bk,39,1,0
154,RL,0bk,39,1,0
154,RL,2bk,36,4,2
155,LR,0bk,32,8,0
155,LR,2bk,32,8,1
155,RL,0bk,31,9,3
155,RL,2bk,33,7,3
156,LR,0bk,27,13,1
156,LR,2bk,19,21,7
156,RL,0bk,32,8,2
156,RL,2bk,24,16,4
157,LR,0bk,40,0,0
157,LR,2bk,24,16,8
157,RL,0bk,40,0,0
157,RL,2bk,28,12,2
158,LR,0bk,40,0,0
158,LR,2bk,39,1,0
158,RL,0bk,40,0,0
158,RL,2bk,34,6,4
159,LR,0bk,40,0,0
159,LR,2bk,35,5,1
159,RL,0bk,40,0,0
159,RL,2bk,38,2,1
160,LR,0bk,38,2,0
160,LR,2bk,39,1,0
160,RL,0bk,39,1,0
160,RL,2bk,35,5,0
161,LR,0bk,35,5,1
161,LR,2bk,33,7,1
161,RL,0bk,37,3,1
161,RL,2bk,30,10,1
162,LR,0bk,40,0,0
162,LR,2bk,35,5,1
162,RL,0bk,40,0,0
162,RL,2bk,31,9,3
163,LR,0bk,40,0,0
163,LR,2bk,40,0,0
163,RL,0bk,39,1,0
163,RL,2bk,36,4,2
164,LR,0bk,40,0,0
164,LR,2bk,33,7,5
164,RL,0bk,39,1,0
164,RL,2bk,31,9,5
165,LR,0bk,39,1,0
165,LR,2bk,35,5,1
165,RL,0bk,38,2,1
165,RL,2bk,33,7,2
166,LR,0bk,40,0,0
166,LR,2bk,39,1,1
166,RL,0bk,38,2,2
166,RL,2bk,37,3,3
167,LR,0bk,38,2,0
167,LR,2bk,39,1,0
167,RL,0bk,38,2,2
167,RL,2bk,37,3,0
168,LR,0bk,40,0,0
168,LR,2bk,38,2,1
168,RL,0bk,39,1,0
168,RL,2bk,35,5,3
169,LR,0bk,40,0,0
169,LR,2bk,39,1,0
169,RL,0bk,38,2,1
169,RL,2bk,36,4,1
170,LR,0bk,39,1,0
170,LR,2bk,36,4,1
170,RL,0bk,39,1,1
170,RL,2bk,32,8,1
171,LR,0bk,36,4,0
171,LR,2bk,33,7,0
171,RL,0bk,32,8,1
171,RL,2bk,27,13,4
172,LR,0bk,40,0,0
172,LR,2bk,38,2,1
172,RL,0bk,38,2,0
172,RL,2bk,27,13,4
173,LR,0bk,37,3,0
173,LR,2bk,38,2,0
173,RL,0bk,36,4,2
173,RL,2bk,26,14,6
174,LR,0bk,40,0,0
174,LR,2bk,36,4,2
174,RL,0bk,40,0,0
174,RL,2bk,34,6,2
175,LR,0bk,38,2,1
175,LR,2bk,35,5,1
175,RL,0bk,37,3,1
175,RL,2bk,30,10,5
176,LR,0bk,39,1,0
176,LR,2bk,39,1,0
176,RL,0bk,40,0,0
176,RL,2bk,36,4,1
177,LR,0bk,40,0,0
177,LR,2bk,37,3,2
177,RL,0bk,38,2,1
177,RL,2bk,29,11,6
178,LR,0bk,27,13,0
178,LR,2bk,31,9,1
178,RL,0bk,23,17,1
178,RL,2bk,24,16,1
179,LR,0bk,39,1,1
179,LR,2bk,39,1,0
179,RL,0bk,39,1,0
179,RL,2bk,34,6,3
180,LR,0bk,40,0,0
180,LR,2bk,29,11,5
180,RL,0bk,32,8,0
180,RL,2bk,25,15,6
181,LR,0bk,38,2,0
181,LR,2bk,36,4,0
181,RL,0bk,38,2,0
181,RL,2bk,36,4,1
182,LR,0bk,40,0,0
182,LR,2bk,40,0,0
182,RL,0bk,36,4,2
182,RL,2bk,29,11,4
183,LR,0bk,40,0,0
183,LR,2bk,32,8,1
183,RL,0bk,37,3,0
183,RL,2bk,32,8,4
184,LR,0bk,39,1,1
184,LR,2bk,38,2,0
184,RL,0bk,39,1,1
184,RL,2bk,30,10,4
