Subject,Run,Condition,Trials,Trials,Trials
,,,Correct,Incorrect,Missed
228,LR,0bk,28,12,4
228,LR,2bk,29,11,7
228,RL,0bk,24,16,4
228,RL,2bk,26,14,4
229,LR,0bk,35,5,2
229,LR,2bk,26,14,4
229,RL,0bk,28,12,5
229,RL,2bk,19,21,8
230,LR,0bk,40,0,0
230,LR,2bk,38,2,0
230,RL,0bk,38,2,1
230,RL,2bk,35,5,0
231,LR,0bk,40,0,0
231,LR,2bk,39,1,0
231,RL,0bk,40,0,0
231,RL,2bk,38,2,0
232,LR,0bk,40,0,0
232,LR,2bk,34,6,2
232,RL,0bk,23,17,5
232,RL,2bk,28,12,7
233,LR,0bk,40,0,0
233,LR,2bk,34,6,2
233,RL,0bk,38,2,1
233,RL,2bk,29,11,3
234,LR,0bk,37,3,0
234,LR,2bk,37,3,0
234,RL,0bk,39,1,1
234,RL,2bk,33,7,2
235,LR,0bk,36,4,1
235,LR,2bk,38,2,0
235,RL,0bk,35,5,1
235,RL,2bk,28,12,3
236,LR,0bk,25,15,7
236,LR,2bk,13,27,21
236,RL,0bk,28,12,9
236,RL,2bk,24,16,10
237,LR,0bk,38,2,1
237,LR,2bk,40,0,0
237,RL,0bk,38,2,0
237,RL,2bk,35,5,3
238,LR,0bk,37,3,0
238,LR,2bk,37,3,0
238,RL,0bk,37,3,2
238,RL,2bk,35,5,0
239,LR,0bk,40,0,0
239,LR,2bk,39,1,0
239,RL,0bk,39,1,0
239,RL,2bk,38,2,1
240,LR,0bk,40,0,0
240,LR,2bk,40,0,0
240,RL,0bk,37,3,1
240,RL,2bk,38,2,0
241,LR,0bk,38,2,2
241,LR,2bk,36,4,1
241,RL,0bk,37,3,3
241,RL,2bk,29,11,4
242,LR,0bk,39,1,1
242,LR,2bk,38,2,0
242,RL,0bk,35,5,1
242,RL,2bk,29,11,6
243,LR,0bk,39,1,1
243,LR,2bk,39,1,0
243,RL,0bk,36,4,4
243,RL,2bk,38,2,1
244,LR,0bk,39,1,0
244,LR,2bk,36,4,2
244,RL,0bk,38,2,0
244,RL,2bk,32,8,4
245,LR,0bk,35,5,4
245,LR,2bk,29,11,6
245,RL,0bk,36,4,1
245,RL,2bk,25,15,7
246,LR,0bk,38,2,1
246,LR,2bk,35,5,2
246,RL,0bk,31,9,6
246,RL,2bk,24,16,11
247,LR,0bk,38,2,0
247,LR,2bk,35,5,2
247,RL,0bk,36,4,0
247,RL,2bk,37,3,1
248,LR,0bk,36,4,1
248,LR,2bk,34,6,1
248,RL,0bk,31,9,2
248,RL,2bk,32,8,2
249,LR,0bk,40,0,0
249,LR,2bk,36,4,0
249,RL,0bk,36,4,2
249,RL,2bk,35,5,2
250,LR,0bk,36,4,1
250,LR,2bk,38,2,2
250,RL,0bk,39,1,1
250,RL,2bk,39,1,1
251,LR,0bk,37,3,1
251,LR,2bk,33,7,5
251,RL,0bk,32,8,5
251,RL,2bk,19,21,15
252,LR,0bk,40,0,0
252,LR,2bk,38,2,0
252,RL,0bk,40,0,0
252,RL,2bk,38,2,0
253,LR,0bk,40,0,0
253,LR,2bk,36,4,2
253,RL,0bk,39,1,1
253,RL,2bk,32,8,6
254,LR,0bk,40,0,0
254,LR,2bk,40,0,0
254,RL,0bk,39,1,0
254,RL,2bk,34,6,1
255,LR,0bk,38,2,1
255,LR,2bk,38,2,0
255,RL,0bk,40,0,0
255,RL,2bk,36,4,0
256,LR,0bk,39,1,0
256,LR,2bk,30,10,4
256,RL,0bk,34,6,1
256,RL,2bk,23,17,5
257,LR,0bk,39,1,0
257,LR,2bk,37,3,0
257,RL,0bk,39,1,0
257,RL,2bk,39,1,0
258,LR,0bk,40,0,0
258,LR,2bk,37,3,1
258,RL,0bk,39,1,0
258,RL,2bk,36,4,2
259,LR,0bk,39,1,0
259,LR,2bk,36,4,3
259,RL,0bk,40,0,0
259,RL,2bk,36,4,2
260,LR,0bk,40,0,0
260,LR,2bk,36,4,0
260,RL,0bk,36,4,1
260,RL,2bk,34,6,1
261,LR,0bk,29,11,0
261,LR,2bk,39,1,0
261,RL,0bk,26,14,2
261,RL,2bk,31,9,6
262,LR,0bk,40,0,0
262,LR,2bk,39,1,0
262,RL,0bk,39,1,0
262,RL,2bk,33,7,0
263,LR,0bk,37,3,1
263,LR,2bk,28,12,8
263,RL,0bk,38,2,1
263,RL,2bk,28,12,8
264,LR,0bk,38,2,1
264,LR,2bk,36,4,1
264,RL,0bk,40,0,0
264,RL,2bk,39,1,0
265,LR,0bk,38,2,0
265,LR,2bk,32,8,3
265,RL,0bk,39,1,0
265,RL,2bk,35,5,1
266,LR,0bk,38,2,2
266,LR,2bk,35,5,0
266,RL,0bk,28,12,3
266,RL,2bk,33,7,1
267,LR,0bk,39,1,0
267,LR,2bk,39,1,0
267,RL,0bk,38,2,0
267,RL,2bk,28,12,6
268,LR,0bk,38,2,1
268,LR,2bk,37,3,1
268,RL,0bk,35,5,0
268,RL,2bk,32,8,4
269,LR,0bk,40,0,0
269,LR,2bk,39,1,0
269,RL,0bk,38,2,1
269,RL,2bk,39,1,0
270,LR,0bk,40,0,0
270,LR,2bk,36,4,0
270,RL,0bk,39,1,1
270,RL,2bk,29,11,5
271,LR,0bk,38,2,2
271,LR,2bk,28,12,3
271,RL,0bk,32,8,5
271,RL,2bk,30,10,3
272,LR,0bk,36,4,1
272,LR,2bk,40,0,0
272,RL,0bk,40,0,0
272,RL,2bk,37,3,1
273,LR,0bk,39,1,1
273,LR,2bk,37,3,1
273,RL,0bk,38,2,0
273,RL,2bk,34,6,3
274,LR,0bk,39,1,0
274,LR,2bk,36,4,1
274,RL,0bk,39,1,1
274,RL,2bk,34,6,1
275,LR,0bk,39,1,1
275,LR,2bk,34,6,0
275,RL,0bk,40,0,0
275,RL,2bk,36,4,0
276,LR,0bk,24,16,5
276,LR,2bk,11,29,21
276,RL,0bk,25,15,7
276,RL,2bk,17,23,15
277,LR,0bk,40,0,0
277,LR,2bk,38,2,0
277,RL,0bk,35,5,1
277,RL,2bk,35,5,2
278,LR,0bk,37,3,0
278,LR,2bk,37,3,1
278,RL,0bk,40,0,0
278,RL,2bk,38,2,0
279,LR,0bk,37,3,0
279,LR,2bk,32,8,0
279,RL,0bk,35,5,2
279,RL,2bk,30,10,0
280,LR,0bk,37,3,0
280,LR,2bk,32,8,3
280,RL,0bk,37,3,1
280,RL,2bk,32,8,5
281,LR,0bk,39,1,1
281,LR,2bk,35,5,3
281,RL,0bk,39,1,1
281,RL,2bk,36,4,0
282,LR,0bk,37,3,0
282,LR,2bk,37,3,0
282,RL,0bk,29,11,2
282,RL,2bk,30,10,3
283,LR,0bk,40,0,0
283,LR,2bk,40,0,0
283,RL,0bk,40,0,0
283,RL,2bk,38,2,0
284,LR,0bk,40,0,0
284,LR,2bk,38,2,0
284,RL,0bk,38,2,1
284,RL,2bk,31,9,4
285,LR,0bk,24,16,2
285,LR,2bk,35,5,3
285,RL,0bk,26,14,7
285,RL,2bk,31,9,6
286,LR,0bk,40,0,0
286,LR,2bk,30,10,3
286,RL,0bk,38,2,0
286,RL,2bk,30,10,1
287,LR,0bk,38,2,1
287,LR,2bk,34,6,0
287,RL,0bk,38,2,0
287,RL,2bk,25,15,1
288,LR,0bk,39,1,1
288,LR,2bk,29,11,2
288,RL,0bk,36,4,2
288,RL,2bk,30,10,2
289,LR,0bk,39,1,1
289,LR,2bk,40,0,0
289,RL,0bk,40,0,0
289,RL,2bk,38,2,0
290,LR,0bk,37,3,1
290,LR,2bk,37,3,2
290,RL,0bk,40,0,0
290,RL,2bk,36,4,2
291,LR,0bk,36,4,0
291,LR,2bk,32,8,1
291,RL,0bk,28,12,3
291,RL,2bk,30,10,1
292,LR,0bk,31,9,1
292,LR,2bk,31,9,2
292,RL,0bk,27,13,2
292,RL,2bk,29,11,3
293,LR,0bk,40,0,0
293,LR,2bk,40,0,0
293,RL,0bk,40,0,0
293,RL,2bk,38,2,0
294,LR,0bk,39,1,0
294,LR,2bk,37,3,0
294,RL,0bk,40,0,0
294,RL,2bk,35,5,0
295,LR,0bk,40,0,0
295,LR,2bk,37,3,1
295,RL,0bk,39,1,0
295,RL,2bk,34,6,1
296,LR,0bk,36,4,2
296,LR,2bk,32,8,0
296,RL,0bk,32,8,5
296,RL,2bk,29,11,2
297,LR,0bk,40,0,0
297,LR,2bk,36,4,1
297,RL,0bk,31,9,3
297,RL,2bk,29,11,5
298,LR,0bk,40,0,0
298,LR,2bk,38,2,1
298,RL,0bk,39,1,0
298,RL,2bk,36,4,3
299,LR,0bk,40,0,0
299,LR,2bk,37,3,1
299,RL,0bk,35,5,2
299,RL,2bk,31,9,6
300,LR,0bk,39,1,0
300,LR,2bk,37,3,1
300,RL,0bk,39,1,0
300,RL,2bk,31,9,4
301,LR,0bk,23,17,7
301,LR,2bk,24,16,8
301,RL,0bk,31,9,3
301,RL,2bk,26,14,5
302,LR,0bk,33,7,3
302,LR,2bk,26,14,1
302,RL,0bk,38,2,2
302,RL,2bk,27,13,3
303,LR,0bk,39,1,0
303,LR,2bk,30,10,0
303,RL,0bk,37,3,1
303,RL,2bk,32,8,1
304,LR,0bk,39,1,1
304,LR,2bk,38,2,0
304,RL,0bk,37,3,1
304,RL,2bk,31,9,3
305,LR,0bk,32,8,1
305,LR,2bk,37,3,1
305,RL,0bk,30,10,4
305,RL,2bk,31,9,4
306,LR,0bk,36,4,2
306,LR,2bk,31,9,4
306,RL,0bk,34,6,2
306,RL,2bk,33,7,3
307,LR,0bk,40,0,0
307,LR,2bk,34,6,0
307,RL,0bk,37,3,0
307,RL,2bk,33,7,0
308,LR,0bk,39,1,0
308,LR,2bk,32,8,2
308,RL,0bk,37,3,0
308,RL,2bk,37,3,1
309,LR,0bk,39,1,0
309,LR,2bk,36,4,0
309,RL,0bk,38,2,1
309,RL,2bk,36,4,0
310,LR,0bk,40,0,0
310,LR,2bk,38,2,0
310,RL,0bk,39,1,1
310,RL,2bk,39,1,0
311,LR,0bk,40,0,0
311,LR,2bk,38,2,1
311,RL,0bk,38,2,1
311,RL,2bk,34,6,3
312,LR,0bk,40,0,0
312,LR,2bk,40,0,0
312,RL,0bk,40,0,0
312,RL,2bk,38,2,1
313,LR,0bk,39,1,1
313,LR,2bk,38,2,0
313,RL,0bk,34,6,2
313,RL,2bk,29,11,3
314,LR,0bk,40,0,0
314,LR,2bk,40,0,0
314,RL,0bk,37,3,0
314,RL,2bk,34,6,0
315,LR,0bk,38,2,0
315,LR,2bk,40,0,0
315,RL,0bk,39,1,1
315,RL,2bk,32,8,4
316,LR,0bk,38,2,2
316,LR,2bk,38,2,1
316,RL,0bk,36,4,0
316,RL,2bk,32,8,5
317,LR,0bk,39,1,1
317,LR,2bk,34,6,1
317,RL,0bk,36,4,2
317,RL,2bk,31,9,1
318,LR,0bk,40,0,0
318,LR,2bk,38,2,2
318,RL,0bk,40,0,0
318,RL,2bk,39,1,0
319,LR,0bk,40,0,0
319,LR,2bk,38,2,0
319,RL,0bk,39,1,0
319,RL,2bk,37,3,0
320,LR,0bk,31,9,4
320,LR,2bk,29,11,3
320,RL,0bk,37,3,1
320,RL,2bk,28,12,3
321,LR,0bk,40,0,0
321,LR,2bk,34,6,0
321,RL,0bk,38,2,1
321,RL,2bk,34,6,1
322,LR,0bk,40,0,0
322,LR,2bk,39,1,1
322,RL,0bk,35,5,0
322,RL,2bk,38,2,0
323,LR,0bk,40,0,0
323,LR,2bk,39,1,0
323,RL,0bk,34,6,0
323,RL,2bk,36,4,0
324,LR,0bk,39,1,1
324,LR,2bk,32,8,0
324,RL,0bk,38,2,0
324,RL,2bk,27,13,2
325,LR,0bk,39,1,0
325,LR,2bk,40,0,0
325,RL,0bk,34,6,0
325,RL,2bk,35,5,1
326,LR,0bk,32,8,0
326,LR,2bk,39,1,0
326,RL,0bk,32,8,2
326,RL,2bk,30,10,4
327,LR,0bk,37,3,0
327,LR,2bk,39,1,0
327,RL,0bk,39,1,1
327,RL,2bk,36,4,1
328,LR,0bk,40,0,0
328,LR,2bk,38,2,1
328,RL,0bk,38,2,0
328,RL,2bk,36,4,1
329,LR,0bk,37,3,0
329,LR,2bk,38,2,0
329,RL,0bk,38,2,0
329,RL,2bk,34,6,0
330,LR,0bk,40,0,0
330,LR,2bk,39,1,0
330,RL,0bk,37,3,0
330,RL,2bk,33,7,1
331,LR,0bk,39,1,0
331,LR,2bk,33,7,2
331,RL,0bk,37,3,0
331,RL,2bk,31,9,3
332,LR,0bk,40,0,0
332,LR,2bk,35,5,2
332,RL,0bk,36,4,1
332,RL,2bk,26,14,7
333,LR,0bk,40,0,0
333,LR,2bk,37,3,2
333,RL,0bk,38,2,1
333,RL,2bk,36,4,2
334,LR,0bk,28,12,0
334,LR,2bk,39,1,0
334,RL,0bk,29,11,0
334,RL,2bk,34,6,0
335,LR,0bk,39,1,0
335,LR,2bk,33,7,4
335,RL,0bk,35,5,2
335,RL,2bk,38,2,1
336,LR,0bk,40,0,0
336,LR,2bk,39,1,0
336,RL,0bk,36,4,1
336,RL,2bk,32,8,2
337,LR,0bk,36,4,1
337,LR,2bk,39,1,1
337,RL,0bk,35,5,3
337,RL,2bk,34,6,3
338,LR,0bk,40,0,0
338,LR,2bk,40,0,0
338,RL,0bk,35,5,1
338,RL,2bk,34,6,2
